;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;B;Balance;Label
84;DFBx6m9YHYFHgrmYXmTh1YQTaZv7Z3Zd8x;119,678,813 DOGE ($7,360,050);0.08849%;03/06/2021 18:32;24/01/2022 18:24;57;;;;119,678,813;119678813;
85;D74RXL1RfBMzn2PcAjhCcyWtHJpmHgQtFm;118,452,681 DOGE ($7,284,644) +2564914 DOGE / +15592157 DOGE;0.08758%;10/12/2021 07:43;12/07/2022 02:04;847;07/02/2022 11:43;07/02/2022 11:43;1;118,452,681;118452681;
;wallet: 413349;;;;;;;;;;;
86;DMoonjyH1aHLZc1kksmikBUhjXromn1ZN4;116,001,032 DOGE ($7,133,872);0.08577%;21/02/2014 23:15;01/01/2022 20:25;35;04/03/2014 13:02;10/03/2014 17:41;11;116,001,032;116001032;
87;DPZRf5bQmLYuhZmKsz6BqKFrNcVhuzf95j;109,026,480 DOGE ($6,704,949) +3047435 DOGE / +5503220 DOGE;0.08061%;29/01/2021 18:51;12/07/2022 08:06;1350;05/02/2021 09:20;01/07/2022 18:36;1042;109,026,480;109026480;
;wallet: 205725;;;;;;;;;;;
88;DTVQd2jrTzhq2Qth2vpKubzUeHGpRSCBjv;108,295,534 DOGE ($6,659,997);0.08007%;04/06/2021 02:53;24/03/2022 11:54;52;;;;108,295,534;108295534;
89;DFUBkwzf1zEhDghSUyjniNs6jA29CY82eJ;108,267,816 DOGE ($6,658,292) / -31850983 DOGE;0.08005%;13/01/2021 02:45;24/06/2022 10:02;123;13/01/2021 16:26;19/06/2022 08:42;120;108,267,816;108267816;
;wallet: 3087320;;;;;;;;;;;
90;DQ8KqJ4nQg4g2Qof2BsMj6HVau5N1iXLKX;107,440,221 DOGE ($6,607,396);0.07944%;04/06/2021 06:18;24/03/2022 15:10;48;;;;107,440,221;107440221;
91;DTJgZkCy5dzMUdj211VtSsoJkXUJPzNdDG;106,328,381 DOGE ($6,539,020);0.07862%;04/06/2021 14:40;25/03/2022 13:44;52;;;;106,328,381;106328381;
92;DN4VDmvdusJtL66evr1oXgmvHi37cCJDWh;105,252,554 DOGE ($6,472,858);0.07782%;04/06/2021 17:02;25/04/2022 21:14;47;;;;105,252,554;105252554;
93;DFHMxqTjbtKKfJ2uAhNMFrw1SkeWhS3meS;104,719,244 DOGE ($6,440,061);0.07743%;29/11/2019 18:06;02/06/2022 08:55;206;03/04/2020 12:08;13/04/2022 08:56;101;104,719,244;104719244;
94;D5LLkAy7aLfr4Fx8D3EuidfrziqqkjTxNq;104,151,596 DOGE ($6,405,151) -2287622 DOGE / +28301677 DOGE;0.07701%;13/05/2021 06:48;12/07/2022 11:57;38652;13/05/2021 07:04;12/07/2022 11:57;38629;104,151,596;104151596;
;wallet: 3349133;;;;;;;;;;;
95;DG4pSs8UzxN1cMnfmMbfJzqtPzubPEojZH;104,141,737 DOGE ($6,404,545);0.07700%;17/08/2021 20:53;25/04/2022 21:36;43;;;;104,141,737;104141737;
96;DN6KNHT6BvuKNke3S9yP1M3h6TCgKCXj3m;104,141,737 DOGE ($6,404,545);0.07700%;16/08/2021 05:30;25/04/2022 21:36;49;;;;104,141,737;104141737;
97;D7fXyKdKEDhf7iDT3sSdr7Dm6W1hy4QLW3;104,141,737 DOGE ($6,404,545);0.07700%;16/08/2021 00:43;25/04/2022 21:36;40;;;;104,141,737;104141737;
98;D8hi4d1sGLz4UckRxPybJ1A61ifs8RsF1j;104,141,737 DOGE ($6,404,545);0.07700%;15/08/2021 18:29;25/04/2022 21:36;44;;;;104,141,737;104141737;
99;DHg7AcJLmRJUeiJcsSJdpoaGRm6DsittZR;104,141,737 DOGE ($6,404,545);0.07700%;13/08/2021 01:47;25/04/2022 21:36;42;;;;104,141,737;104141737;
100;DEBmRVBhnvh36axYboCnT8C7fac5hJf5XE;104,141,737 DOGE ($6,404,545);0.07700%;11/08/2021 21:03;25/04/2022 21:26;41;;;;104,141,737;104141737;
