;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;Balance;Label
74;35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6 2-of-3;10,768 BTC ($213,685,446) -436.92 BTC / +830.51 BTC;0.05640%;08/06/2020 17:39;11/07/2022 20:05;535;16/06/2020 16:15;07/07/2022 17:11;407;10,768 ;
;wallet: 69400086;;;;;;;;;;
75;bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302;10,500 BTC ($208,371,380);0.05500%;28/12/2020 20:43;03/07/2022 18:00;15;;;;10,500 ;
76;bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40;10,297 BTC ($204,333,200);0.05393%;11/03/2021 15:37;23/06/2022 01:21;7;01/04/2021 09:16;01/04/2021 09:16;1;10,297 ;
77;bc1qu5mhu0nghreufhrvp8rrnuftlmukjhdarw8hxscjmwxxpf7csqnsnpy60t;10,296 BTC ($204,328,577);0.05393%;07/06/2022 08:40;24/06/2022 23:57;3;;;;10,296 ;
78;1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr;10,009 BTC ($198,632,721);0.05243%;04/05/2011 04:10;17/06/2022 03:10;72;;;;10,009 ;
79;bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq;10,002 BTC ($198,483,446);0.05239%;14/08/2021 06:37;17/06/2022 03:10;2;;;;10,002 ;
80;bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj;10,001 BTC ($198,464,733);0.05238%;12/11/2021 13:19;17/06/2022 03:10;4;22/04/2022 19:31;22/04/2022 19:31;2;10,001 ;
81;1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV;10,000 BTC ($198,450,438);0.05238%;04/05/2011 04:01;17/06/2022 03:10;43;;;;10,000 ;
82;bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up;10,000 BTC ($198,449,766);0.05238%;31/12/2021 13:48;17/06/2022 03:10;22;;;;10,000 ;
83;14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec;10,000 BTC ($198,449,587);0.05238%;04/05/2011 03:40;17/06/2022 03:10;54;;;;10,000 ;
84;1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT;10,000 BTC ($198,449,402);0.05238%;17/10/2017 01:18;17/06/2022 03:10;42;;;;10,000 ;
85;35WHp4Hid61peyH4tuhNunwRj2gtNB41Lo;10,000 BTC ($198,449,245);0.05238%;09/05/2022 12:08;17/06/2022 03:10;12;;;;10,000 ;
86;1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm;10,000 BTC ($198,449,224);0.05238%;03/04/2011 00:18;17/06/2022 03:10;64;;;;10,000 ;
87;1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt;10,000 BTC ($198,449,150);0.05238%;04/05/2011 03:14;17/06/2022 03:10;50;;;;10,000 ;
88;12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me;10,000 BTC ($198,449,126);0.05238%;02/04/2011 23:08;17/06/2022 03:10;51;;;;10,000 ;
89;1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt;10,000 BTC ($198,449,108);0.05238%;04/05/2011 04:01;17/06/2022 03:10;39;;;;10,000 ;
90;1CPaziTqeEixPoSFtJxu74uDGbpEAotZom;10,000 BTC ($198,449,106);0.05238%;04/05/2011 03:28;17/06/2022 03:10;38;;;;10,000 ;
91;1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK;10,000 BTC ($198,448,984);0.05238%;05/02/2014 18:33;06/04/2022 05:22;75;22/09/2017 18:59;19/04/2018 14:34;13;10,000 ;
;wallet: 33664448;;;;;;;;;;
92;bc1q5nfww5jn5k4ghg7dpa4gy85x7uu3l4g0m0re76;10,000 BTC ($198,448,951);0.05238%;19/05/2022 20:28;17/06/2022 03:10;22;;;;10,000 ;
93;bc1q4srun4yspqem2pqgk47eq9jspcht3fmyrmfdeu;10,000 BTC ($198,448,901);0.05238%;04/05/2022 22:08;17/06/2022 03:10;21;;;;10,000 ;
94;bc1qe39l9l84sa44r9j2jjkgdc7p4ltj3sracd932k;10,000 BTC ($198,448,901);0.05238%;25/04/2022 12:11;17/06/2022 03:10;21;;;;10,000 ;
95;bc1qvy0sp8cdj3cv2wwh05scucxw6vxqpdlhfjvqn8;10,000 BTC ($198,448,901);0.05238%;11/05/2022 17:16;17/06/2022 03:10;21;;;;10,000 ;
96;bc1qm6q8tgml3cr9gpx63a5jqtj2dxlsyz4q3ghjlf;10,000 BTC ($198,448,901);0.05238%;08/04/2022 14:20;17/06/2022 03:10;19;;;;10,000 ;
97;1EU2pMence1UfifCco2UHJCdoqorAtpT7;10,000 BTC ($198,448,894);0.05238%;29/05/2018 23:32;17/06/2022 03:10;27;;;;10,000 ;
98;bc1qlkdlchlylfdkspvevnlqqlmt4l222hwva2z3n7;9,906 BTC ($196,582,914);0.05189%;29/07/2021 19:26;17/06/2022 03:50;2;;;;9,906 B;
99;bc1qg6kqkkaexnxpvle8w3zy5j7w4k9uz5rqmrx5lw;9,905 BTC ($196,562,936);0.05188%;29/07/2021 19:26;17/06/2022 03:50;2;;;;9,905 B;
100;bc1qqdykm85ycxjqjh5hrkwmewts02mm6ku5rlck3m;9,904 BTC ($196,550,561);0.05188%;29/07/2021 21:42;17/06/2022 03:50;2;;;;9,904 B;
